,pow,iteration,dtype,optimization,seconds,bandwidth
179,1,1,1,1,1e-06,0.032
180,6,2,1,2,7e-06,4.6811428571428575
181,1,3,2,2,1e-06,0.064
182,9,2,2,2,0.000316,13.273113924050634
183,11,3,2,0,0.014134,4.74804471487194
184,10,1,1,1,0.001452,5.777278236914601
185,12,1,0,1,0.030196,4.44488435554378
186,11,1,1,3,0.005007,6.701504293988417
187,8,2,0,2,6.5e-05,8.065969230769232
188,8,1,0,2,7.9e-05,6.636556962025317
189,10,2,2,0,0.003445,4.87001915820029
190,11,3,0,3,0.004867,6.894274090815697
191,13,3,1,2,0.135612,3.9588746718579477
192,11,2,2,2,0.010278,6.529369916326133
193,11,1,0,2,0.00619,5.42074830371567
194,7,1,0,0,4.8e-05,2.7306666666666666
195,2,2,1,3,1e-06,0.128
196,4,1,1,2,1e-06,2.048
197,1,2,1,0,0.0,inf
198,5,1,2,0,4e-06,4.096
199,10,3,0,1,0.001112,7.543712230215827
200,11,1,1,2,0.00636,5.275854088050314
201,2,1,2,0,1e-06,0.256
202,6,3,0,1,5e-06,6.5536
203,5,2,1,3,1e-06,8.192
204,15,1,0,3,2.961914,2.900129643196933
205,15,3,2,2,4.544285,3.7805439544394774
206,7,1,0,2,2e-05,6.5536
207,5,3,2,1,2e-06,8.192
208,6,2,0,1,5e-06,6.5536
209,8,1,2,1,9.4e-05,11.155063829787235
210,4,2,0,3,1e-06,2.048
211,10,2,0,1,0.001417,5.919977417078335
212,6,1,0,0,9e-06,3.640888888888889
213,14,2,0,1,0.571761,3.7559113825531996
214,12,3,0,3,0.025265,5.312397704334059
215,11,3,1,0,0.011819,2.8390246213723667
216,13,1,0,0,0.206368,2.6015220964490617
217,8,1,0,3,4.9e-05,10.699755102040816
218,8,2,1,1,7.2e-05,7.281777777777778
219,12,1,0,2,0.030771,4.361825355042085
220,12,1,2,1,0.050312,5.335416123390046
221,13,2,2,3,0.198859,5.399513343625383
222,6,2,1,0,1.1e-05,2.9789090909090907
223,8,2,1,3,6.1e-05,8.59488524590164
224,1,1,0,0,1e-06,0.032
225,7,2,2,2,2.1e-05,12.48304761904762
226,2,3,0,2,0.0,inf
227,13,3,2,0,0.267941,4.00738156534461
228,4,3,0,2,1e-06,2.048
229,14,2,1,3,0.514467,4.174191246474507
230,8,3,1,2,8.9e-05,5.890876404494382
231,14,3,0,2,0.556262,3.860561476426576
232,12,2,1,0,0.051644,2.598902641158702
233,5,3,1,2,2e-06,4.096
234,4,2,1,1,1e-06,2.048
235,14,1,1,0,0.930331,2.3083006456841706
236,14,3,1,2,0.553472,3.880022201665125
237,9,1,0,0,0.000637,3.292232339089482
238,14,1,1,2,0.553209,3.8818667953702852
239,7,2,0,0,4.8e-05,2.7306666666666666
240,7,1,2,1,2.1e-05,12.48304761904762
241,12,2,0,3,0.025075,5.3526511665004985
242,1,2,1,3,1e-06,0.032
243,4,1,0,3,1e-06,2.048
244,3,1,0,0,1e-06,0.512
245,15,2,1,3,2.963088,2.898980587819194
246,6,1,2,2,6e-06,10.922666666666666
247,3,2,2,1,1e-06,1.024
248,3,2,1,3,1e-06,0.512
249,3,1,2,2,1e-06,1.024
250,9,3,0,2,0.000256,8.192
251,14,2,0,2,0.561685,3.823288227387237
252,5,3,0,2,2e-06,4.096
253,5,1,2,2,2e-06,8.192
254,7,1,1,3,1.6e-05,8.192
255,12,1,1,0,0.053156,2.524977951689367
256,2,2,1,0,0.0,inf
257,6,1,1,0,1.3e-05,2.5206153846153847
258,12,2,2,1,0.047557,5.64449935866434
259,5,2,2,3,1e-06,16.384
260,6,3,1,2,7e-06,4.6811428571428575
261,15,2,2,2,4.551915,3.774206940155956
262,15,3,0,2,3.317585,2.589213114961636
263,15,1,0,2,3.288963,2.611745584246463
264,6,2,2,3,5e-06,13.1072
265,5,3,0,0,4e-06,2.048
266,10,3,1,3,0.00067,12.520310447761194
267,6,2,1,3,5e-06,6.5536
268,3,1,0,1,1e-06,0.512
269,3,2,1,1,1e-06,0.512
270,11,1,0,1,0.006305,5.321876605868359
271,5,1,1,0,4e-06,2.048
272,3,1,0,2,1e-06,0.512
273,11,2,1,0,0.011729,2.8608092761531245
274,15,3,2,0,6.039402,2.8446308399407756
275,4,1,2,3,1e-06,4.096
276,5,2,0,1,2e-06,4.096
277,12,3,1,0,0.050821,2.6409895122095195
278,1,2,1,1,0.0,inf
279,8,2,2,2,9.6e-05,10.922666666666666
280,10,2,2,3,0.001788,9.383230425055928
281,13,2,1,3,0.111333,4.8222082581085575
282,12,3,0,1,0.030724,4.368497851842208
283,7,1,2,0,5.6e-05,4.6811428571428575
284,15,3,0,1,3.289753,2.6111184006823613
285,8,1,2,2,9.9e-05,10.591676767676768
286,14,2,2,0,1.346723,3.1891987409437577
287,6,1,2,3,4e-06,16.384
288,4,1,2,2,1e-06,4.096
289,4,3,0,3,1e-06,2.048
290,15,1,1,1,3.253327,2.6403538875741663
291,15,2,0,0,4.084029,2.1032991176115545
292,1,1,1,2,1e-06,0.032
293,3,3,1,2,1e-06,0.512
294,15,2,2,1,4.659719,3.6868895278878404
295,8,3,2,1,8.9e-05,11.781752808988765
296,15,1,0,0,4.07557,2.107664594645657
297,2,1,0,1,1e-06,0.128
298,15,2,0,3,2.974306,2.8880466878660096
299,15,2,1,1,3.256347,2.637905171654004
300,1,3,1,1,1e-06,0.032
301,12,1,2,0,0.066065,4.063202240217967
302,5,1,0,1,3e-06,2.7306666666666666
303,11,2,2,0,0.014481,4.63427000897728
304,11,2,0,3,0.00485,6.918439587628866
305,3,1,1,1,1e-06,0.512
306,11,2,1,3,0.004898,6.850639444671295
307,5,3,2,3,2e-06,8.192
308,1,1,0,2,0.0,inf
309,6,2,1,1,5e-06,6.5536
310,10,2,0,3,0.000744,11.275010752688171
311,5,2,2,1,2e-06,8.192
312,12,3,2,0,0.06925,3.876324274368231
313,3,3,2,3,1e-06,1.024
314,1,3,2,0,1e-06,0.064
315,7,3,1,3,1.6e-05,8.192
316,14,2,1,0,0.892304,2.4066726676110384
317,6,3,1,3,5e-06,6.5536
318,6,2,2,0,1.3e-05,5.041230769230769
319,6,3,0,3,5e-06,6.5536
320,9,2,2,1,0.000556,7.543712230215827
321,13,1,0,3,0.113701,4.721778278115408
322,9,2,0,2,0.000308,6.808935064935065
323,9,1,0,2,0.000282,7.436709219858156
324,14,3,2,0,1.343491,3.1968709101884567
325,3,3,0,3,1e-06,0.512
326,12,2,0,0,0.047444,2.828971587555855
327,14,3,0,0,0.838251,2.561862315702576
328,2,2,2,3,1e-06,0.256
329,11,1,2,0,0.014208,4.723315315315316
330,13,1,1,2,0.139537,3.8475165153328508
331,4,3,1,3,1e-06,2.048
332,1,3,2,1,0.0,inf
333,10,2,2,1,0.002058,8.15219436345967
334,6,1,1,1,6e-06,5.461333333333333
335,3,2,0,1,1e-06,0.512
336,2,2,2,1,1e-06,0.256
337,1,3,2,3,1e-06,0.064
338,15,1,0,1,3.27223,2.6251011059736022
339,11,1,1,0,0.011631,2.8849137649385264
340,12,3,2,3,0.045107,5.951082005010309
341,10,1,0,1,0.001238,6.775935379644588
342,2,3,2,3,1e-06,0.256
343,6,3,0,2,5e-06,6.5536
344,10,3,2,3,0.00168,9.986438095238094
345,11,3,1,3,0.004945,6.785527199191102
346,12,3,1,3,0.025396,5.2849948023310755
347,1,1,2,2,1e-06,0.064
348,2,1,2,2,0.0,inf
349,6,3,0,0,1.3e-05,2.5206153846153847
350,9,3,2,0,0.000556,7.543712230215827
351,3,1,1,2,1e-06,0.512
352,2,2,1,1,1e-06,0.128
353,11,3,1,2,0.0066,5.084004848484849
354,3,3,0,0,1e-06,0.512
355,6,1,2,0,1.3e-05,5.041230769230769
356,14,2,0,3,0.515725,4.16400920645693
357,1,2,0,1,1e-06,0.032
358,7,2,2,3,1.7e-05,15.420235294117647
359,10,2,1,2,0.001187,7.067066554338669
360,1,3,0,1,1e-06,0.032
361,7,3,2,0,5.2e-05,5.041230769230769
362,8,3,0,2,7.9e-05,6.636556962025317
363,12,2,0,1,0.029613,4.532392125080201
364,7,3,2,2,2.1e-05,12.48304761904762
365,3,1,2,0,1e-06,1.024
366,2,1,1,0,1e-06,0.128
367,5,3,1,0,4e-06,2.048
368,7,3,0,1,2e-05,6.5536
369,3,2,1,2,1e-06,0.512
370,15,1,1,0,4.323704,1.9867073675718783
371,2,3,2,1,1e-06,0.256
372,3,1,0,3,1e-06,0.512
373,10,1,2,1,0.002749,6.103025100036377
374,15,1,2,0,6.273867,2.7383221837504683
375,11,1,1,1,0.006305,5.321876605868359
376,9,1,2,2,0.000304,13.797052631578948
377,2,2,0,2,0.0,inf
378,11,3,2,1,0.010577,6.3447919069679495
379,2,2,2,0,1e-06,0.256
380,9,3,0,1,0.00027,7.76722962962963
381,13,3,1,0,0.226984,2.3652368096429703
382,2,2,0,3,1e-06,0.128
383,9,2,1,3,0.000233,9.000652360515021
384,8,1,1,3,5.8e-05,9.03944827586207
385,11,2,1,1,0.006512,5.152707616707617
386,3,2,2,2,1e-06,1.024
387,11,3,1,1,0.006325,5.305048537549407
388,5,3,0,3,2e-06,4.096
389,2,1,2,1,1e-06,0.256
390,2,1,2,3,1e-06,0.256
391,15,2,1,0,4.301136,1.997131593141905
392,6,3,2,2,6e-06,10.922666666666666
393,9,3,0,0,0.000538,3.8980520446096656
394,8,1,1,0,0.000197,2.6613604060913705
395,14,3,0,1,0.571296,3.758968464683807
396,13,3,2,2,0.207906,5.164554288957509
397,15,1,1,3,2.973844,2.888495358868858
398,8,1,1,1,7.5e-05,6.990506666666667
399,14,1,2,1,1.064952,4.033014911470189
