,pow,iteration,dtype,optimization,tile_dim,copy,shared_copy,naive,coalesced,conflict-free
192,12,1,0,1,32,700.36,814.57,84.57,330.76,775.21
193,9,1,0,1,16,448.14,449.12,174.3,416.26,444.25
194,12,1,2,2,64,0.0,0.0,0.0,0.0,0.0
195,7,1,2,2,64,0.0,0.0,0.0,0.0,0.0
196,9,1,0,3,32,0.0,0.0,0.0,0.0,0.0
197,6,1,2,1,64,0.0,0.0,0.0,0.0,0.0
198,11,1,2,0,16,764.18,791.12,325.45,533.77,771.65
199,12,1,0,0,16,669.76,759.66,180.11,700.28,760.59
200,8,1,2,2,16,204.39,206.04,157.3,170.38,204.8
201,6,1,0,2,64,8.31,9.7,3.64,5.06,9.73
202,14,1,2,1,32,0.0,0.0,0.0,0.0,0.0
203,5,1,2,3,64,0.0,0.0,0.0,0.0,0.0
204,11,1,0,1,64,674.66,742.03,97.66,367.89,739.35
205,6,1,2,2,32,14.19,16.0,10.87,12.9,16.04
206,6,1,2,0,32,14.16,16.04,10.88,12.98,16.04
207,12,1,0,2,64,706.89,811.14,89.82,369.89,787.08
208,7,1,2,3,64,0.0,0.0,0.0,0.0,0.0
209,6,1,0,0,16,7.71,8.31,7.69,8.0,8.16
210,11,1,0,0,64,633.08,722.24,80.53,302.29,720.97
211,8,1,0,3,32,0.0,0.0,0.0,0.0,0.0
212,9,1,2,1,64,0.0,0.0,0.0,0.0,0.0
213,8,1,2,3,64,0.0,0.0,0.0,0.0,0.0
214,10,1,0,3,32,0.0,0.0,0.0,0.0,0.0
215,9,1,0,2,64,361.2,347.12,63.43,160.5,345.95
216,10,1,0,0,32,705.6,710.49,73.5,293.09,704.99
217,11,1,0,2,32,677.87,754.15,101.31,392.06,752.94
218,5,1,2,0,64,0.0,0.0,0.0,0.0,0.0
219,10,1,2,0,32,1040.25,1003.92,176.12,598.39,993.57
220,10,1,2,3,16,827.47,782.43,313.69,527.84,826.22
221,12,1,2,3,64,0.0,0.0,0.0,0.0,0.0
222,13,1,2,1,32,806.98,831.12,218.34,792.63,813.34
223,8,1,2,1,32,202.37,209.84,101.49,190.69,257.93
224,11,1,2,1,64,0.0,0.0,0.0,0.0,0.0
225,12,1,2,0,16,791.47,826.95,394.42,756.35,776.49
226,11,1,2,1,32,765.43,782.24,156.41,552.67,773.47
227,10,1,2,2,16,832.1,788.45,313.27,492.9,783.17
228,14,1,0,0,16,690.21,777.93,299.95,744.85,748.03
229,12,1,2,0,64,0.0,0.0,0.0,0.0,0.0
