,pow,iteration,dtype,optimization,tile_dim,copy,shared_copy,naive,coalesced,conflict-free
0,10,1,1,0,16,150.3675,155.40125,34.16125,130.11375,152.83625
328,10,1,0,3,32,163.3175,172.14625,16.21,64.565,172.68125
131,10,1,0,0,64,160.0,148.98625,15.5525,57.11125,148.64125
341,10,1,2,1,64,0.0,0.0,0.0,0.0,0.0
81,10,1,1,3,64,160.25,148.8375,15.66875,57.31125,149.06125
60,10,1,2,2,16,192.12,197.875,67.39,117.905,198.6425
82,10,1,2,0,32,194.8625,189.06625,32.38,114.67,188.93
332,10,1,0,0,32,163.3175,171.8125,16.10875,64.24125,171.52375
149,10,1,0,0,16,128.9675,132.3,29.265,107.5625,129.13
119,10,1,2,0,64,0.0,0.0,0.0,0.0,0.0
93,10,1,0,1,16,127.84,131.95875,29.265,107.1125,129.13
159,10,1,1,0,64,160.4625,149.05375,15.7325,57.36875,148.8375
74,10,1,1,1,32,163.57875,172.68125,16.22,64.565,172.10125
94,10,1,2,1,16,192.48125,198.8475,67.4575,117.9725,198.835
325,10,1,2,2,64,0.0,0.0,0.0,0.0,0.0
110,10,1,1,0,32,164.1025,172.9725,16.22,64.64625,172.9725
187,10,1,1,1,16,150.215,155.6225,34.15625,129.94875,152.83625
186,10,1,0,2,64,160.525,149.05375,15.73875,57.335,148.8375
98,10,1,2,2,32,195.23375,189.10375,32.39,114.605,188.93
183,10,1,0,1,64,161.00625,149.27125,15.6625,57.3675,149.25125
23,10,1,0,2,16,127.975,131.95875,29.27375,107.1125,129.13
75,10,1,1,3,32,163.57875,171.8475,16.2175,64.52375,171.8125
189,10,1,1,2,64,160.565,149.06125,15.6525,57.37375,149.01375
169,10,1,1,2,32,163.66875,171.8125,16.215,64.565,171.8125
356,10,1,2,0,16,192.12,198.835,67.435,118.04,198.8525
354,10,1,2,3,32,195.0475,189.10375,32.38,114.67,188.5825
319,10,1,2,1,32,195.79375,189.10375,32.38,114.67625,188.5825
89,11,1,2,3,16,28.10875,28.4225,28.5575,29.27125,29.19125
334,11,1,0,2,32,107.67625,109.40125,16.57,70.125,109.52
251,11,1,1,3,64,107.085,111.30375,10.44375,54.56875,104.70375
248,11,1,1,3,16,74.08,73.93375,34.795,77.08,77.17
242,11,1,0,3,16,64.48375,64.4325,22.06875,67.6025,67.23625
188,11,1,1,2,32,107.84625,109.48375,16.56875,70.14875,109.3725
264,11,1,1,3,32,107.19125,109.11,16.57125,57.47125,105.24125
301,11,1,2,0,16,24.6575,24.895,24.94875,25.58375,25.51125
59,11,1,2,0,32,28.0925,28.05625,26.16375,28.37875,27.93375
57,11,1,1,0,64,108.6425,109.695,16.4375,67.10375,110.01875
344,11,1,1,0,32,93.75,94.35625,10.415,57.095,94.92125
269,11,1,1,1,16,74.45875,74.23,34.8125,76.83375,77.1375
349,11,1,1,0,16,74.25625,73.76,34.8125,76.94875,77.385
21,11,1,1,1,64,124.07875,124.84,16.4425,67.15875,125.915
297,11,1,2,2,64,0.0,0.0,0.0,0.0,0.0
286,11,1,0,2,16,64.02,64.4225,22.0575,67.73375,67.07
8,11,1,0,1,16,64.0125,64.48375,22.06,67.62375,67.0925
1,11,1,2,3,32,24.5675,24.51125,22.30375,24.785,24.37
63,11,1,2,3,64,0.0,0.0,0.0,0.0,0.0
102,11,1,2,1,16,28.15125,28.46875,28.5775,29.27375,29.1775
294,11,1,0,1,32,107.50625,108.84875,16.57125,70.06375,108.7625
211,11,1,2,1,64,0.0,0.0,0.0,0.0,0.0
129,11,1,2,0,64,0.0,0.0,0.0,0.0,0.0
145,11,1,1,2,16,65.81,65.205,34.7975,67.4575,68.06
120,11,1,0,0,16,63.78125,64.04,22.22625,67.21375,67.2025
313,11,1,0,1,64,108.61875,109.51875,16.44,67.1675,110.43375
204,11,1,0,3,64,124.505,125.41375,16.4425,67.21,126.26375
198,11,1,0,3,32,121.2275,123.56125,16.575,70.51125,123.26625
201,11,1,0,2,64,109.13875,110.04875,16.44125,67.15875,111.0925
207,11,1,2,2,32,24.57,24.5325,21.04125,24.72875,24.1475
230,11,1,2,2,16,24.65875,24.86,24.94625,25.53,25.46
154,11,1,1,2,64,108.99375,110.1075,16.44,67.0925,111.30375
215,11,1,1,1,32,121.9675,123.89625,16.5725,58.67375,110.8525
317,11,1,0,0,64,109.08125,110.1075,16.32625,66.885,111.24375
196,11,1,0,0,32,107.705,109.285,16.45375,69.79,109.43125
220,11,1,2,1,32,24.55625,24.81625,22.7675,24.8025,24.5025
270,12,1,2,3,64,0.0,0.0,0.0,0.0,0.0
271,12,1,2,1,64,0.0,0.0,0.0,0.0,0.0
51,12,1,1,0,64,24.66375,24.8425,16.68125,28.32875,27.99625
